ticker,strategy,basket,period_months,price_then,price_now,actual_return,upside,growth,accel,valuation,long_term,cash_runway,conviction,entry,momentum,profitability,fragility,downside
QBTS,catalyst,Quantum,24,1.16,23.52,1927.59,100.0,32.1,50.0,14.5,5.0,50.0,100.0,76.0,30.0,0.0,-10.0,-8.0
RGTI,catalyst,Quantum,24,0.95,19.69,1966.11,100.0,25.0,50.0,37.2,5.0,50.0,100.0,96.9,10.0,0.0,-10.0,-8.0
CRWD,hold_forever,Cyber,24,380.63,644.93,69.44,10.2,72.7,50.0,28.6,100.0,50.0,100.0,3.9,100.0,0.0,0.0,0.0
PANW,hold_forever,Cyber,24,160.16,260.52,62.66,100.0,32.9,35.3,57.5,100.0,50.0,100.0,33.4,100.0,0.0,0.0,0.0
BWXT,hold_forever,Industrial,24,91.64,188.96,106.19,0.0,23.6,50.0,98.4,100.0,50.0,100.0,31.6,100.0,0.0,0.0,0.0
POWL,cycle,Industrial,24,50.91,283.51,456.89,0.0,61.3,50.0,100.0,75.0,50.0,40.0,35.2,80.0,0.0,-5.0,-5.0
VRT,cycle,Industrial,24,90.42,289.52,220.21,10.1,41.2,50.0,91.2,100.0,50.0,100.0,18.7,80.0,0.0,-5.0,-5.0
FIX,hold_forever,Industrial,24,314.36,1831.56,482.63,0.0,51.5,50.0,100.0,100.0,50.0,44.0,15.7,80.0,0.0,0.0,0.0
RKLB,cycle,SpecGrowth,24,5.01,108.23,2060.28,54.5,29.2,50.0,66.3,25.0,50.0,82.5,66.4,60.0,0.0,-10.0,-5.0
LSCC,cycle,SpecGrowth,24,58.56,137.56,134.9,73.2,22.8,50.0,68.2,75.0,50.0,100.0,90.2,10.0,0.0,-5.0,-5.0
CRDO,cycle,SpecGrowth,24,27.49,234.32,752.38,0.0,8.6,0.0,37.4,50.0,50.0,100.0,11.0,100.0,0.0,-5.0,-5.0
VKTX,catalyst,SpecGrowth,24,52.74,29.23,-44.58,100.0,50.0,50.0,50.0,50.0,50.0,100.0,49.0,80.0,0.0,-10.0,-12.0
KTOS,cycle,Defense,24,20.65,56.19,172.11,0.0,30.9,50.0,96.9,75.0,50.0,100.0,13.3,100.0,0.0,-5.0,-5.0
SERV,catalyst,SpecGrowth,24,2.0,6.94,247.0,50.0,60.0,50.0,5.0,50.0,50.0,24.0,99.4,50.0,0.0,-10.0,-8.0
ENVX,catalyst,SpecGrowth,24,12.0,6.75,-43.75,100.0,33.4,50.0,5.0,25.0,50.0,100.0,62.4,60.0,0.0,-10.0,-8.0
APLD,cycle,Industrial,24,5.52,41.91,659.24,100.0,88.5,0.0,66.9,50.0,50.0,100.0,60.1,60.0,0.0,-5.0,-5.0
TMDX,hold_forever,MedTech,24,139.04,74.29,-46.57,0.0,91.8,50.0,50.2,100.0,50.0,100.0,6.3,100.0,0.0,0.0,0.0
IREN,cycle,Industrial,24,13.28,54.02,306.78,0.0,90.3,100.0,39.3,50.0,50.0,100.0,10.1,100.0,0.0,-5.0,-5.0
AXON,hold_forever,Defense,24,291.15,452.51,55.42,29.8,62.9,50.0,59.9,100.0,50.0,100.0,24.0,80.0,0.0,0.0,0.0
CIFR,cycle,Industrial,24,4.56,23.03,405.15,19.3,88.0,50.0,60.6,25.0,50.0,100.0,25.2,100.0,0.0,-5.0,-5.0
LUNR,catalyst,SpecGrowth,24,3.66,27.47,650.55,100.0,25.5,50.0,81.2,50.0,50.0,100.0,82.5,30.0,0.0,-10.0,-8.0
ACHR,catalyst,SpecGrowth,24,3.66,5.32,45.36,100.0,50.0,50.0,50.0,25.0,50.0,100.0,84.6,40.0,0.0,-10.0,-12.0
VST,cycle,Nuclear,24,85.93,146.22,70.17,0.0,15.3,50.0,100.0,100.0,50.0,100.0,23.5,100.0,0.0,-5.0,-5.0
